194,0.65,0.11,Healthy
195,0.65,0.11,Healthy
196,0.64,0.11,Healthy
197,0.63,0.11,Healthy
198,0.63,0.11,Healthy
199,0.64,0.11,Healthy
200,0.63,0.11,Healthy
201,0.57,0.11,Healthy
202,0.58,0.12,Healthy
203,0.59,0.11,Healthy
204,0.61,0.11,Healthy
205,0.62,0.11,Healthy
206,0.57,0.11,Healthy
207,0.58,0.11,Healthy
208,0.59,0.11,Healthy
209,0.59,0.11,Healthy
210,0.59,0.11,Healthy
211,0.61,0.11,Healthy
212,0.62,0.11,Healthy
213,0.63,0.11,Healthy
214,0.64,0.11,Healthy
215,0.62,0.11,Healthy
216,0.64,0.10,Healthy
217,0.65,0.11,Healthy
218,0.64,0.11,Healthy
219,0.65,0.11,Healthy
220,0.65,0.11,Healthy
221,0.63,0.10,Healthy
222,0.60,0.09,Healthy
223,0.59,0.09,Healthy
224,0.61,0.10,Healthy
225,0.62,0.10,Healthy
226,0.62,0.10,Healthy
227,0.63,0.11,Healthy
228,0.63,0.11,Healthy
229,0.63,0.10,Healthy
230,0.61,0.11,Healthy
231,0.62,0.11,Healthy
232,0.60,0.11,Healthy
