235,8.1,17.6,Healthy
236,9.4,17.6,Healthy
237,8.3,16.8,Healthy
238,9.6,16.3,Healthy
239,9.4,16.7,Healthy
240,10.6,16.6,Healthy
241,10.8,17.6,Healthy
242,9.8,19.8,Healthy
243,10.1,16.7,Healthy
244,9.2,16.2,Healthy
245,10.6,16.0,Healthy
246,10.4,15.7,Healthy
247,8.8,15.8,Healthy
248,9.9,18.1,Healthy
249,8.4,16.4,Healthy
250,11.2,16.2,Healthy
251,22.2,29.0,W1
252,19.8,29.1,W1
253,19.1,28.8,W1
254,19.5,28.5,W1
255,17.6,28.7,W1
256,19.2,28.5,W1
257,18.6,29.6,W1
258,17.8,29.0,W1
259,21.0,25.8,W2
260,21.0,25.8,W2
261,21.3,26.3,W2
262,22.6,26.2,W2
263,21.0,26.9,W2
264,21.6,26.3,W2
265,22.0,26.4,W2
266,21.8,26.0,W2
267,20.2,27.2,W3
268,21.6,27.2,W3
269,21.3,27.0,W3
270,22.2,26.9,W3
271,19.1,27.5,W3
272,19.0,27.7,W3
273,20.0,28.9,W3
